method,variant,noise_family,rate,energy,seed
RL,mitigated,readout,0.1,3.590272557903363,3
RL,untwirled,depolarizing,0.0,2.2149986297333286,4
RL,untwirled,depolarizing,0.01,2.214998629733329,4
RL,untwirled,depolarizing,0.02,3.3921616084615422,4
RL,untwirled,depolarizing,0.05,2.2149986297333286,4
RL,untwirled,depolarizing,0.1,0.6202401760092431,4
RL,untwirled,amplitude_damping,0.0,2.2149986297333286,4
RL,untwirled,amplitude_damping,0.01,2.2149986297594983,4
RL,untwirled,amplitude_damping,0.02,3.3921616084594195,4
RL,untwirled,amplitude_damping,0.05,2.2149986304281573,4
RL,untwirled,amplitude_damping,0.1,2.2149986327452584,4
RL,untwirled,coherent_overrotation,0.0,2.2149986297333286,4
RL,untwirled,coherent_overrotation,0.01,2.2149986307490104,4
RL,untwirled,coherent_overrotation,0.02,2.2149986337950485,4
RL,untwirled,coherent_overrotation,0.05,2.214998655075295,4
RL,untwirled,coherent_overrotation,0.1,2.2149987304771743,4
RL,untwirled,readout,0.0,2.2149986297333286,4
RL,untwirled,readout,0.01,2.2149986297333286,4
RL,untwirled,readout,0.02,2.2149986297333286,4
RL,untwirled,readout,0.05,2.2149986297333286,4
RL,untwirled,readout,0.1,0.2853261345315548,4
RL,mitigated,depolarizing,0.0,2.2150013714036403,4
RL,mitigated,depolarizing,0.01,1.4522319904078351,4
RL,mitigated,depolarizing,0.02,1.9207065018838265,4
RL,mitigated,depolarizing,0.05,1.682504175235159,4
RL,mitigated,depolarizing,0.1,2.079673023935075,4
RL,mitigated,amplitude_damping,0.0,2.2149975934484796,4
RL,mitigated,amplitude_damping,0.01,3.294068485899514,4
RL,mitigated,amplitude_damping,0.02,2.9656206297387,4
RL,mitigated,amplitude_damping,0.05,1.5922861220216091,4
RL,mitigated,amplitude_damping,0.1,1.9987551556538437,4
RL,mitigated,coherent_overrotation,0.0,2.21499690750521,4
RL,mitigated,coherent_overrotation,0.01,2.2149945109953717,4
RL,mitigated,coherent_overrotation,0.02,2.2149989743101317,4
RL,mitigated,coherent_overrotation,0.05,2.215002921110699,4
RL,mitigated,coherent_overrotation,0.1,2.2150032144938425,4
RL,mitigated,readout,0.0,2.2149989678773587,4
RL,mitigated,readout,0.01,2.11502403031395,4
RL,mitigated,readout,0.02,6.609312836477174,4
RL,mitigated,readout,0.05,2.7605849050086464,4
RL,mitigated,readout,0.1,3.606209664773933,4
HEA adversarial,untwirled,depolarizing,0.0,-0.5245958260471908,0
HEA adversarial,untwirled,depolarizing,0.01,-0.5245958260471908,0
HEA adversarial,untwirled,depolarizing,0.02,-0.23271598786223902,0
HEA adversarial,untwirled,depolarizing,0.05,0.6692275495538497,0
HEA adversarial,untwirled,depolarizing,0.1,-0.22401724947809096,0
HEA adversarial,untwirled,amplitude_damping,0.0,-0.5245958260471908,0
HEA adversarial,untwirled,amplitude_damping,0.01,0.0897963419018442,0
HEA adversarial,untwirled,amplitude_damping,0.02,-0.20948928124368524,0
HEA adversarial,untwirled,amplitude_damping,0.05,-0.3136902900050664,0
HEA adversarial,untwirled,amplitude_damping,0.1,0.8620164972382198,0
HEA adversarial,untwirled,coherent_overrotation,0.0,-0.5245958260471908,0
HEA adversarial,untwirled,coherent_overrotation,0.01,-0.5055178828206719,0
HEA adversarial,untwirled,coherent_overrotation,0.02,-0.4506047417425306,0
HEA adversarial,untwirled,coherent_overrotation,0.05,-0.1497222869583586,0
HEA adversarial,untwirled,coherent_overrotation,0.1,0.29577608393375504,0
HEA adversarial,untwirled,readout,0.0,-0.5245958260471908,0
HEA adversarial,untwirled,readout,0.01,0.6042683322256068,0
HEA adversarial,untwirled,readout,0.02,-0.5238339094202432,0
HEA adversarial,untwirled,readout,0.05,0.11768915668086814,0
HEA adversarial,untwirled,readout,0.1,-0.10215393643990085,0
HEA adversarial,mitigated,depolarizing,0.0,0.008815382653366862,0
HEA adversarial,mitigated,depolarizing,0.01,0.3597262563671625,0
HEA adversarial,mitigated,depolarizing,0.02,1.4004310154045403,0
HEA adversarial,mitigated,depolarizing,0.05,-0.2604629153718297,0
HEA adversarial,mitigated,depolarizing,0.1,0.699284325435823,0
HEA adversarial,mitigated,amplitude_damping,0.0,-0.10749744036996794,0
HEA adversarial,mitigated,amplitude_damping,0.01,1.243040270658894,0
HEA adversarial,mitigated,amplitude_damping,0.02,0.44629745451880876,0
HEA adversarial,mitigated,amplitude_damping,0.05,0.02825514703255332,0
HEA adversarial,mitigated,amplitude_damping,0.1,-0.07780600025871733,0
HEA adversarial,mitigated,coherent_overrotation,0.0,1.1221530443051642,0
HEA adversarial,mitigated,coherent_overrotation,0.01,-0.339962670377368,0
HEA adversarial,mitigated,coherent_overrotation,0.02,1.0753503108251017,0
HEA adversarial,mitigated,coherent_overrotation,0.05,1.493465223356511,0
HEA adversarial,mitigated,coherent_overrotation,0.1,0.8676413583854611,0
HEA adversarial,mitigated,readout,0.0,-0.27727090844550933,0
HEA adversarial,mitigated,readout,0.01,1.0038223414194243,0
HEA adversarial,mitigated,readout,0.02,0.1456511780228345,0
HEA adversarial,mitigated,readout,0.05,0.8832408007628747,0
HEA adversarial,mitigated,readout,0.1,0.26354335663081546,0
HEA adversarial,untwirled,depolarizing,0.0,-0.5276082264783152,1
HEA adversarial,untwirled,depolarizing,0.01,-0.5276082264783152,1
HEA adversarial,untwirled,depolarizing,0.02,0.6028133010516051,1
HEA adversarial,untwirled,depolarizing,0.05,0.3009867065170386,1
HEA adversarial,untwirled,depolarizing,0.1,-0.20970619283566957,1
HEA adversarial,untwirled,amplitude_damping,0.0,-0.5276082264783152,1
HEA adversarial,untwirled,amplitude_damping,0.01,-0.3889059148687416,1
HEA adversarial,untwirled,amplitude_damping,0.02,-0.2634002681715155,1
HEA adversarial,untwirled,amplitude_damping,0.05,0.07520118040237084,1
HEA adversarial,untwirled,amplitude_damping,0.1,0.2034280292226638,1
HEA adversarial,untwirled,coherent_overrotation,0.0,-0.5276082264783152,1
HEA adversarial,untwirled,coherent_overrotation,0.01,-0.5195899676535296,1
HEA adversarial,untwirled,coherent_overrotation,0.02,-0.4959548797823514,1
HEA adversarial,untwirled,coherent_overrotation,0.05,-0.3475257426392647,1
HEA adversarial,untwirled,coherent_overrotation,0.1,0.004103914914308782,1
HEA adversarial,untwirled,readout,0.0,-0.5276082264783152,1
HEA adversarial,untwirled,readout,0.01,-0.4655039789339416,1
HEA adversarial,untwirled,readout,0.02,0.6028133010516225,1
HEA adversarial,untwirled,readout,0.05,0.3513760205917039,1
HEA adversarial,untwirled,readout,0.1,-0.09735832168463017,1
HEA adversarial,mitigated,depolarizing,0.0,0.877884751002627,1
HEA adversarial,mitigated,depolarizing,0.01,0.07826604433340752,1
HEA adversarial,mitigated,depolarizing,0.02,1.2682246395458334,1
HEA adversarial,mitigated,depolarizing,0.05,1.5534097608683686,1
HEA adversarial,mitigated,depolarizing,0.1,0.671932984119381,1
HEA adversarial,mitigated,amplitude_damping,0.0,1.490706501190739,1
HEA adversarial,mitigated,amplitude_damping,0.01,0.6195031285329985,1
HEA adversarial,mitigated,amplitude_damping,0.02,1.6905422034811355,1
HEA adversarial,mitigated,amplitude_damping,0.05,-0.2732866592651926,1
HEA adversarial,mitigated,amplitude_damping,0.1,-0.5304960745373908,1
HEA adversarial,mitigated,coherent_overrotation,0.0,0.04330899514559659,1
HEA adversarial,mitigated,coherent_overrotation,0.01,-0.5304960745373908,1
HEA adversarial,mitigated,coherent_overrotation,0.02,-0.054146012519433774,1
HEA adversarial,mitigated,coherent_overrotation,0.05,-0.07354232706258727,1
HEA adversarial,mitigated,coherent_overrotation,0.1,0.8366323093013186,1
HEA adversarial,mitigated,readout,0.0,-0.5304960745373908,1
HEA adversarial,mitigated,readout,0.01,0.4399188275555132,1
HEA adversarial,mitigated,readout,0.02,0.26833340109017745,1
HEA adversarial,mitigated,readout,0.05,0.8813150985790323,1
HEA adversarial,mitigated,readout,0.1,1.2744887996154672,1
HEA adversarial,untwirled,depolarizing,0.0,-0.5247004935411925,2
HEA adversarial,untwirled,depolarizing,0.01,0.08929432407903058,2
HEA adversarial,untwirled,depolarizing,0.02,0.15302350870796422,2
HEA adversarial,untwirled,depolarizing,0.05,-0.1930481928994152,2
HEA adversarial,untwirled,depolarizing,0.1,0.7208853843914628,2
HEA adversarial,untwirled,amplitude_damping,0.0,-0.5247004935411925,2
HEA adversarial,untwirled,amplitude_damping,0.01,-0.5242762545938423,2
HEA adversarial,untwirled,amplitude_damping,0.02,-0.5229942059000073,2
HEA adversarial,untwirled,amplitude_damping,0.05,-0.5138097613311785,2
HEA adversarial,untwirled,amplitude_damping,0.1,0.6047357820870628,2
HEA adversarial,untwirled,coherent_overrotation,0.0,-0.5247004935411925,2
HEA adversarial,untwirled,coherent_overrotation,0.01,-0.5080986337330298,2
HEA adversarial,untwirled,coherent_overrotation,0.02,-0.4602697505996533,2
HEA adversarial,untwirled,coherent_overrotation,0.05,-0.19673930442323617,2
HEA adversarial,untwirled,coherent_overrotation,0.1,0.23582183372811996,2
HEA adversarial,untwirled,readout,0.0,-0.5247004935411925,2
HEA adversarial,untwirled,readout,0.01,0.08929388878507047,2
HEA adversarial,untwirled,readout,0.02,0.34742235770088425,2
HEA adversarial,untwirled,readout,0.05,0.28680308333192256,2
HEA adversarial,untwirled,readout,0.1,0.43998143769216774,2
HEA adversarial,mitigated,depolarizing,0.0,0.35331292484434623,2
HEA adversarial,mitigated,depolarizing,0.01,0.20510997710520334,2
HEA adversarial,mitigated,depolarizing,0.02,-0.5205226133953893,2
HEA adversarial,mitigated,depolarizing,0.05,0.1330293042802828,2
HEA adversarial,mitigated,depolarizing,0.1,1.7505659923650168,2
HEA adversarial,mitigated,amplitude_damping,0.0,-0.12999523505805197,2
HEA adversarial,mitigated,amplitude_damping,0.01,0.9333677114151706,2
HEA adversarial,mitigated,amplitude_damping,0.02,0.27820133020906085,2
HEA adversarial,mitigated,amplitude_damping,0.05,0.6616366724248629,2
HEA adversarial,mitigated,amplitude_damping,0.1,1.6917990869122075,2
HEA adversarial,mitigated,coherent_overrotation,0.0,2.4678202257863346,2
HEA adversarial,mitigated,coherent_overrotation,0.01,0.9316217809249987,2
HEA adversarial,mitigated,coherent_overrotation,0.02,1.0230910727770697,2
HEA adversarial,mitigated,coherent_overrotation,0.05,0.7182791870112277,2
HEA adversarial,mitigated,coherent_overrotation,0.1,0.6091606160703994,2
HEA adversarial,mitigated,readout,0.0,0.3299787545489152,2
HEA adversarial,mitigated,readout,0.01,0.2656453765519923,2
HEA adversarial,mitigated,readout,0.02,0.4439104726072881,2
HEA adversarial,mitigated,readout,0.05,0.2550345951514723,2
HEA adversarial,mitigated,readout,0.1,1.2831452696850258,2
HEA adversarial,untwirled,depolarizing,0.0,-0.527430121652546,3
HEA adversarial,untwirled,depolarizing,0.01,-0.5261120558985454,3
HEA adversarial,untwirled,depolarizing,0.02,0.27457318158583394,3
HEA adversarial,untwirled,depolarizing,0.05,0.7064975003886003,3
HEA adversarial,untwirled,depolarizing,0.1,-0.06367451804978612,3
HEA adversarial,untwirled,amplitude_damping,0.0,-0.527430121652546,3
HEA adversarial,untwirled,amplitude_damping,0.01,-0.5270300721309781,3
HEA adversarial,untwirled,amplitude_damping,0.02,0.6983153243348124,3
HEA adversarial,untwirled,amplitude_damping,0.05,0.41439299037460686,3
HEA adversarial,untwirled,amplitude_damping,0.1,0.2103834158259807,3
HEA adversarial,untwirled,coherent_overrotation,0.0,-0.527430121652546,3
HEA adversarial,untwirled,coherent_overrotation,0.01,-0.5111686279680222,3
HEA adversarial,untwirled,coherent_overrotation,0.02,-0.46374970166022356,3
HEA adversarial,untwirled,coherent_overrotation,0.05,-0.1877209916757888,3
HEA adversarial,untwirled,coherent_overrotation,0.1,0.2546598253436367,3
HEA adversarial,untwirled,readout,0.0,-0.527430121652546,3
HEA adversarial,untwirled,readout,0.01,0.704942688402087,3
HEA adversarial,untwirled,readout,0.02,0.05237049434396472,3
HEA adversarial,untwirled,readout,0.05,0.30282380588479774,3
HEA adversarial,untwirled,readout,0.1,0.6700120131254923,3
HEA adversarial,mitigated,depolarizing,0.0,0.8775532458537171,3
HEA adversarial,mitigated,depolarizing,0.01,1.841437836376565,3
HEA adversarial,mitigated,depolarizing,0.02,-0.5304960745373908,3
HEA adversarial,mitigated,depolarizing,0.05,-0.2480433063039659,3
HEA adversarial,mitigated,depolarizing,0.1,-0.0597341905024235,3
HEA adversarial,mitigated,amplitude_damping,0.0,-0.5304960745373908,3
HEA adversarial,mitigated,amplitude_damping,0.01,1.6255895297955711,3
HEA adversarial,mitigated,amplitude_damping,0.02,0.8959912315047017,3
HEA adversarial,mitigated,amplitude_damping,0.05,0.25369055905826615,3
HEA adversarial,mitigated,amplitude_damping,0.1,0.39041996220201314,3
HEA adversarial,mitigated,coherent_overrotation,0.0,1.2425215893892751,3
HEA adversarial,mitigated,coherent_overrotation,0.01,-0.2325801962391941,3
HEA adversarial,mitigated,coherent_overrotation,0.02,0.9448310833080623,3
HEA adversarial,mitigated,coherent_overrotation,0.05,0.5864253747368466,3
HEA adversarial,mitigated,coherent_overrotation,0.1,0.6513506940615289,3
HEA adversarial,mitigated,readout,0.0,0.14589810639471545,3
HEA adversarial,mitigated,readout,0.01,1.6359688059647122,3
HEA adversarial,mitigated,readout,0.02,0.22293174838432175,3
HEA adversarial,mitigated,readout,0.05,-0.29878301155543063,3
HEA adversarial,mitigated,readout,0.1,0.6200460246998535,3
HEA adversarial,untwirled,depolarizing,0.0,-0.527608126011637,4
HEA adversarial,untwirled,depolarizing,0.01,-0.00445506950182533,4
