group,run,seed,noise_family,attack_budget,noise_rate,circuit_path,clean_fidelity,attacked_mean,attacked_std,attacked_min,attacked_max,n_attacks_evaluated
adversarial,adversarial,seed_4,amplitude_damping,1,0.05,results/4/adversarial/seed_4/circuit_robust.json,0.9999999403953551,0.9723035842180251,0.021831143302802843,0.9506248831748961,0.9999999403953551,4
adversarial,adversarial,seed_4,amplitude_damping,3,0.05,results/4/adversarial/seed_4/circuit_robust.json,0.9999999403953551,0.9461667899574551,0.02964902656920947,0.8963911235332487,0.9999999403953551,14
adversarial,adversarial,seed_4,coherent_overrotation,1,0.05,results/4/adversarial/seed_4/circuit_robust.json,0.9999999403953551,0.9862250164151191,0.010916083568751813,0.9755280911922454,0.9999998211860656,4
adversarial,adversarial,seed_4,coherent_overrotation,3,0.05,results/4/adversarial/seed_4/circuit_robust.json,0.9999999403953551,0.9524558314255305,0.039989962187532924,0.8535531163215635,0.9999998211860656,14
adversarial,compare,,depolarizing,1,0.05,results/4/compare/run_0/circuit_robust.json,0.9999999403953551,0.9242591063181557,0.029987427304036845,0.9027776122093197,0.9666665196418761,3
adversarial,compare,,depolarizing,3,0.05,results/4/compare/run_0/circuit_robust.json,0.9999999403953551,0.8755213831152233,0.053987464598577256,0.7912706434726713,0.9666665196418761,7
adversarial,compare,,amplitude_damping,1,0.05,results/4/compare/run_0/circuit_robust.json,0.9999999403953551,0.9630714654922484,0.01716208104735569,0.9506248831748961,0.9873396307229994,3
adversarial,compare,,amplitude_damping,3,0.05,results/4/compare/run_0/circuit_robust.json,0.9999999403953551,0.9387661601815903,0.02818275214409403,0.8963911235332487,0.9873396307229994,7
adversarial,compare,,coherent_overrotation,1,0.05,results/4/compare/run_0/circuit_robust.json,0.9999999403953551,0.9816334148248035,0.008634231483840706,0.9755280911922454,0.9938440620899198,3
adversarial,compare,,coherent_overrotation,3,0.05,results/4/compare/run_0/circuit_robust.json,0.9999999403953551,0.941995390823909,0.04502237033152434,0.8535531163215635,0.9938440620899198,7
adversarial,compare,,depolarizing,1,0.05,results/4/compare/run_1/circuit_robust.json,0.9999999403953551,0.9293516774972278,0.021807273542819677,0.9027776122093197,0.9666665196418761,6
adversarial,compare,,depolarizing,3,0.05,results/4/compare/run_1/circuit_robust.json,0.9999999403953551,0.8450479485639711,0.05066073476547262,0.7641371488571166,0.9666665196418761,41
adversarial,compare,,amplitude_damping,1,0.05,results/4/compare/run_1/circuit_robust.json,0.9999999403953551,0.9815357029438018,0.022095170911431043,0.9506248831748961,0.9999999403953551,6
adversarial,compare,,amplitude_damping,3,0.05,results/4/compare/run_1/circuit_robust.json,0.9999999403953551,0.9576566313825001,0.029810911505711243,0.8963911235332487,0.9999999403953551,41
adversarial,compare,,coherent_overrotation,1,0.05,results/4/compare/run_1/circuit_robust.json,0.9999999403953551,0.9908166478077569,0.011027544816389338,0.9755280911922454,0.9999998807907102,6
adversarial,compare,,coherent_overrotation,3,0.05,results/4/compare/run_1/circuit_robust.json,0.9999999403953551,0.9670709277071602,0.03344929932782585,0.8535531163215635,0.9999998807907102,41
